week,location,average_price
31/12/2016,Kolkata,NS(147.26)
31/12/2016,Guwahati,127.81(125.94)
31/12/2016,Siliguri,126.14(124.80)
31/12/2016,Jalpaiguri,NS(NS)
31/12/2016,mjunction,
31/12/2016,Cochin,NS(108.58)
31/12/2016,Coonoor,NS(NS)
31/12/2016,Coimbatore,NS(88.49)
31/12/2016,Tea Serve,99.14(74.70)
24/12/2016,Kolkata,144.88(153.79)
24/12/2016,Guwahati,131.35(135.27)
24/12/2016,Siliguri,128.90(128.56)
24/12/2016,Jalpaiguri,NS(NS)
24/12/2016,mjunction,
24/12/2016,Cochin,111.99(NS)
24/12/2016,Coonoor,106.73(83.51)
24/12/2016,Coimbatore,107.22(NS)
24/12/2016,Tea Serve,95.43(72.87)
17/12/2016,Kolkata,148.67(157.45)
17/12/2016,Guwahati,130.57(134.46)
17/12/2016,Siliguri,128.84(125.55)
17/12/2016,Jalpaiguri,NS(NS)
17/12/2016,mjunction,
17/12/2016,Cochin,110.55(107.85)
17/12/2016,Coonoor,104.97(82.18)
17/12/2016,Coimbatore,103.90(86.85)
17/12/2016,Tea Serve,94.62(68.76)
10/12/2016,Kolkata,148.35(155.83)
10/12/2016,Guwahati,133.78(133.57)
10/12/2016,Siliguri,125.89(120.70)
10/12/2016,Jalpaiguri,NS(NS)
10/12/2016,mjunction,
10/12/2016,Cochin,108.17(105.87)
10/12/2016,Coonoor,103.81(80.87)
10/12/2016,Coimbatore,103.24(83.87)
10/12/2016,Tea Serve,94.43(66.11)
03/12/2016,Kolkata,152.06(154.94)
03/12/2016,Guwahati,133.44(137.00)
03/12/2016,Siliguri,126.55(125.47)
03/12/2016,Jalpaiguri,NS(NS)
03/12/2016,mjunction,
03/12/2016,Cochin,109.31(103.73)
03/12/2016,Coonoor,101.88(78.69)
03/12/2016,Coimbatore,101.75(81.06)
03/12/2016,Tea Serve,95.72(63.39)
26/11/2016,Kolkata,154.83(157.92)
26/11/2016,Guwahati,138.11(144.91)
26/11/2016,Siliguri,128.47(132.17)
26/11/2016,Jalpaiguri,NS(NS)
26/11/2016,mjunction,
26/11/2016,Cochin,110.00(105.30)
26/11/2016,Coonoor,100.18(75.52)
26/11/2016,Coimbatore,101.16(80.56)
26/11/2016,Tea Serve,94.59(64.30)
19/11/2016,Kolkata,154.58(152.56)
19/11/2016,Guwahati,137.02(141.95)
19/11/2016,Siliguri,124.00(125.17)
19/11/2016,Jalpaiguri,NS(NS)
19/11/2016,mjunction,
19/11/2016,Cochin,111.10(94.81)
19/11/2016,Coonoor,98.54(73.33)
19/11/2016,Coimbatore,101.58(79.55)
19/11/2016,Tea Serve,91.26(62.93)
12/11/2016,Kolkata,152.38(154.15)
12/11/2016,Guwahati,138.84(147.66)
12/11/2016,Siliguri,130.27(NS)
12/11/2016,Jalpaiguri,NS(NS)
12/11/2016,mjunction,
12/11/2016,Cochin,114.73(93.67)
12/11/2016,Coonoor,98.66(NS)
12/11/2016,Coimbatore,101.07(NS)
12/11/2016,Tea Serve,90.99(60.51)
05/11/2016,Kolkata,150.34(155.49)
05/11/2016,Guwahati,137.18(141.27)
05/11/2016,Siliguri,132.45(121.91)
05/11/2016,Jalpaiguri,NS(NS)
05/11/2016,mjunction,
05/11/2016,Cochin,112.43(94.38)
05/11/2016,Coonoor,98.47(72.45)
05/11/2016,Coimbatore,100.27(79.24)
05/11/2016,Tea Serve,91.34(57.25)
29/10/2016,Kolkata,147.48(153.37)
29/10/2016,Guwahati,137.98(140.56)
29/10/2016,Siliguri,129.59(120.13)
29/10/2016,Jalpaiguri,NS(NS)
29/10/2016,mjunction,
29/10/2016,Cochin,112.54(101.26)
29/10/2016,Coonoor,NS(72.12)
29/10/2016,Coimbatore,NS(81.35)
29/10/2016,Tea Serve,89.57(56.19)
22/10/2016,Kolkata,148.41(NS)
22/10/2016,Guwahati,140.46(NS)
22/10/2016,Siliguri,NS(NS)
22/10/2016,Jalpaiguri,NS(NS)
22/10/2016,mjunction,
22/10/2016,Cochin,112.52(106.71)
22/10/2016,Coonoor,97.23(73.26)
22/10/2016,Coimbatore,99.43(77.93)
22/10/2016,Tea Serve,86.53(54.32)
15/10/2016,Kolkata,NS(157.02)
15/10/2016,Guwahati,NS(140.93)
15/10/2016,Siliguri,NS(115.19)
15/10/2016,Jalpaiguri,NS(NS)
15/10/2016,mjunction,
15/10/2016,Cochin,111.45(105.60)
15/10/2016,Coonoor,95.58(72.71)
15/10/2016,Coimbatore,102.40(81.11)
15/10/2016,Tea Serve,88.40(51.73)
08/10/2016,Kolkata,144.54(162.17)
08/10/2016,Guwahati,139.15(141.25)
08/10/2016,Siliguri,127.22(112.72)
08/10/2016,Jalpaiguri,NS(NS)
08/10/2016,mjunction,
08/10/2016,Cochin,110.64(101.07)
08/10/2016,Coonoor,97.46(69.74)
08/10/2016,Coimbatore,100.82(75.41)
08/10/2016,Tea Serve,88.07(54.92)
01/10/2016,Kolkata,147.47(153.90)
01/10/2016,Guwahati,138.78(145.37)
01/10/2016,Siliguri,130.52(110.88)
01/10/2016,Jalpaiguri,NS(NS)
01/10/2016,mjunction,
01/10/2016,Cochin,111.49(100.70)
01/10/2016,Coonoor,98.24(68.30)
01/10/2016,Coimbatore,100.80(75.89)
01/10/2016,Tea Serve,88.52(56.21)
24/09/2016,Kolkata,149.87(158.22)
24/09/2016,Guwahati,139.27(146.82)
24/09/2016,Siliguri,129.71(115.23)
24/09/2016,Jalpaiguri,NS(NS)
24/09/2016,mjunction,
24/09/2016,Cochin,111.12(98.50)
24/09/2016,Coonoor,98.79(68.40)
24/09/2016,Coimbatore,100.02(72.51)
24/09/2016,Tea Serve,88.03(55.13)
17/09/2016,Kolkata,150.20(164.58)
17/09/2016,Guwahati,137.97(144.42)
17/09/2016,Siliguri,129.82(116.21)
17/09/2016,Jalpaiguri,NS(NS)
17/09/2016,mjunction,
17/09/2016,Cochin,NS(92.89)
17/09/2016,Coonoor,99.41(67.02)
17/09/2016,Coimbatore,99.91(72.62)
17/09/2016,Tea Serve,84.79(50.24)
10/09/2016,Kolkata,149.90(164.57)
10/09/2016,Guwahati,140.12(144.06)
10/09/2016,Siliguri,131.55(118.19)
10/09/2016,Jalpaiguri,NS(86.03)
10/09/2016,mjunction,
10/09/2016,Cochin,111.51(89.70)
10/09/2016,Coonoor,98.21(65.68)
10/09/2016,Coimbatore,99.73(69.66)
10/09/2016,Tea Serve,82.26(54.33)
03/09/2016,Kolkata,151.35(165.47)
03/09/2016,Guwahati,141.28(149.82)
03/09/2016,Siliguri,130.08(120.68)
03/09/2016,Jalpaiguri,NS(103.44)
03/09/2016,mjunction,
03/09/2016,Cochin,114.62(91.47)
03/09/2016,Coonoor,95.97(65.05)
03/09/2016,Coimbatore,97.25(71.95)
03/09/2016,Tea Serve,78.87(54.72)
27/08/2016,Kolkata,150.00(168.49)
27/08/2016,Guwahati,142.04(152.24)
27/08/2016,Siliguri,127.29(119.17)
27/08/2016,Jalpaiguri,NS(90.28)
27/08/2016,mjunction,
27/08/2016,Cochin,114.70(NS)
27/08/2016,Coonoor,92.73(64.38)
27/08/2016,Coimbatore,96.43(71.58)
27/08/2016,Tea Serve,77.37(52.17)
20/08/2016,Kolkata,155.05(170.35)
20/08/2016,Guwahati,141.17(152.27)
20/08/2016,Siliguri,125.14(120.75)
20/08/2016,Jalpaiguri,NS(100.84)
20/08/2016,mjunction,
20/08/2016,Cochin,111.39(91.13)
20/08/2016,Coonoor,90.82(64.39)
20/08/2016,Coimbatore,93.72(71.34)
20/08/2016,Tea Serve,78.43(54.57)
13/08/2016,Kolkata,158.31(166.07)
13/08/2016,Guwahati,143.12(151.38)
13/08/2016,Siliguri,128.79(123.26)
13/08/2016,Jalpaiguri,NS(100.64)
13/08/2016,mjunction,
13/08/2016,Cochin,111.68(90.11)
13/08/2016,Coonoor,87.89(64.18)
13/08/2016,Coimbatore,91.48(70.27)
13/08/2016,Tea Serve,77.76(58.30)
06/08/2016,Kolkata,159.40(163.72)
06/08/2016,Guwahati,144.15(151.02)
06/08/2016,Siliguri,132.32(127.01)
06/08/2016,Jalpaiguri,NS(NS)
06/08/2016,mjunction,
06/08/2016,Cochin,114.47(86.66)
06/08/2016,Coonoor,85.97(64.57)
06/08/2016,Coimbatore,90.28(70.21)
06/08/2016,Tea Serve,78.33(56.71)
30/07/2016,Kolkata,159.43(169.45)
30/07/2016,Guwahati,146.07(152.64)
30/07/2016,Siliguri,135.79(126.78)
30/07/2016,Jalpaiguri,NS(NS)
30/07/2016,mjunction,
30/07/2016,Cochin,115.98(86.06)
30/07/2016,Coonoor,85.42(64.68)
30/07/2016,Coimbatore,91.17(71.21)
30/07/2016,Tea Serve,79.49(55.26)
23/07/2016,Kolkata,162.54(169.12)
23/07/2016,Guwahati,149.85(156.88)
23/07/2016,Siliguri,138.38(128.52)
23/07/2016,Jalpaiguri,NS(NS)
23/07/2016,mjunction,
23/07/2016,Cochin,114.23(85.56)
23/07/2016,Coonoor,87.62(65.28)
23/07/2016,Coimbatore,92.73(69.54)
23/07/2016,Tea Serve,81.56(58.19)
16/07/2016,Kolkata,171.50(169.33)
16/07/2016,Guwahati,154.04(150.99)
16/07/2016,Siliguri,142.89(126.49)
16/07/2016,Jalpaiguri,NS(NS)
16/07/2016,mjunction,
16/07/2016,Cochin,113.15(87.72)
16/07/2016,Coonoor,91.00(65.03)
16/07/2016,Coimbatore,94.33(73.46)
16/07/2016,Tea Serve,82.86(58.21)
09/07/2016,Kolkata,163.96(163.85)
09/07/2016,Guwahati,155.34(155.18)
09/07/2016,Siliguri,140.11(124.03)
09/07/2016,Jalpaiguri,NS(NS)
09/07/2016,mjunction,
09/07/2016,Cochin,111.72(87.62)
09/07/2016,Coonoor,94.84(67.88)
