week,location,average_price
30/12/2017,Kolkata,149.17(NS)
30/12/2017,Guwahati,136.80(127.81)
30/12/2017,Siliguri,131.79(126.14)
30/12/2017,Jalpaiguri,NS(NS)
30/12/2017,mjunction,
30/12/2017,Cochin,NS(NS)
30/12/2017,Coonoor,NS(NS)
30/12/2017,Coimbatore,NS(NS)
30/12/2017,Tea Serve,65.60(99.14)
23/12/2017,Kolkata,147.62(144.88)
23/12/2017,Guwahati,139.79(131.35)
23/12/2017,Siliguri,131.39(128.90)
23/12/2017,Jalpaiguri,NS(NS)
23/12/2017,mjunction,
23/12/2017,Cochin,110.07(111.99)
23/12/2017,Coonoor,83.75(106.73)
23/12/2017,Coimbatore,92.51(107.22)
23/12/2017,Tea Serve,63.94(95.43)
16/12/2017,Kolkata,155.58(148.67)
16/12/2017,Guwahati,140.58(130.57)
16/12/2017,Siliguri,129.78(128.84)
16/12/2017,Jalpaiguri,NS(NS)
16/12/2017,mjunction,
16/12/2017,Cochin,108.91(110.55)
16/12/2017,Coonoor,81.42(104.97)
16/12/2017,Coimbatore,90.50(103.90)
16/12/2017,Tea Serve,64.13(94.62)
09/12/2017,Kolkata,157.88(148.35)
09/12/2017,Guwahati,140.01(133.78)
09/12/2017,Siliguri,128.02(125.89)
09/12/2017,Jalpaiguri,NS(NS)
09/12/2017,mjunction,
09/12/2017,Cochin,109.23(108.17)
09/12/2017,Coonoor,77.74(103.81)
09/12/2017,Coimbatore,90.12(103.24)
09/12/2017,Tea Serve,63.66(94.43)
02/12/2017,Kolkata,157.66(152.06)
02/12/2017,Guwahati,142.47(133.44)
02/12/2017,Siliguri,131.47(126.55)
02/12/2017,Jalpaiguri,NS(NS)
02/12/2017,mjunction,
02/12/2017,Cochin,110.34(109.31)
02/12/2017,Coonoor,74.75(101.88)
02/12/2017,Coimbatore,89.87(101.75)
02/12/2017,Tea Serve,65.14(95.72)
25/11/2017,Kolkata,159.51(154.83)
25/11/2017,Guwahati,143.61(138.11)
25/11/2017,Siliguri,133.54(128.47)
25/11/2017,Jalpaiguri,NS(NS)
25/11/2017,mjunction,
25/11/2017,Cochin,110.67(110.00)
25/11/2017,Coonoor,75.13(100.18)
25/11/2017,Coimbatore,91.90(101.16)
25/11/2017,Tea Serve,65.46(94.59)
18/11/2017,Kolkata,157.92(154.58)
18/11/2017,Guwahati,142.04(137.01)
18/11/2017,Siliguri,133.26(124.00)
18/11/2017,Jalpaiguri,NS(NS)
18/11/2017,mjunction,
18/11/2017,Cochin,109.51(111.10)
18/11/2017,Coonoor,76.38(98.54)
18/11/2017,Coimbatore,89.79(101.58)
18/11/2017,Tea Serve,67.92(91.26)
11/11/2017,Kolkata,159.63(152.38)
11/11/2017,Guwahati,144.18(138.84)
11/11/2017,Siliguri,131.19(130.27)
11/11/2017,Jalpaiguri,NS(NS)
11/11/2017,mjunction,
11/11/2017,Cochin,109.41(114.73)
11/11/2017,Coonoor,77.57(98.66)
11/11/2017,Coimbatore,93.38(101.07)
11/11/2017,Tea Serve,66.73(90.99)
04/11/2017,Kolkata,158.91(150.34)
04/11/2017,Guwahati,147.84(137.18)
04/11/2017,Siliguri,128.42(132.45)
04/11/2017,Jalpaiguri,NS(NS)
04/11/2017,mjunction,
04/11/2017,Cochin,109.30(112.43)
04/11/2017,Coonoor,78.67(98.47)
04/11/2017,Coimbatore,91.70(100.27)
04/11/2017,Tea Serve,67.00(91.34)
28/10/2017,Kolkata,159.21(147.48)
28/10/2017,Guwahati,152.04(137.98)
28/10/2017,Siliguri,129.02(129.59)
28/10/2017,Jalpaiguri,NS(NS)
28/10/2017,mjunction,
28/10/2017,Cochin,107.81(112.54)
28/10/2017,Coonoor,80.62(NS)
28/10/2017,Coimbatore,89.88(NS)
28/10/2017,Tea Serve,66.86(89.57)
21/10/2017,Kolkata,159.12(148.41)
21/10/2017,Guwahati,148.86(140.46)
21/10/2017,Siliguri,132.99(NS)
21/10/2017,Jalpaiguri,NS(NS)
21/10/2017,mjunction,
21/10/2017,Cochin,110.17(112.52)
21/10/2017,Coonoor,NS(97.23)
21/10/2017,Coimbatore,NS(99.43)
21/10/2017,Tea Serve,NS(86.53)
14/10/2017,Kolkata,160.37(NS)
14/10/2017,Guwahati,153.66(NS)
14/10/2017,Siliguri,128.37(NS)
14/10/2017,Jalpaiguri,NS(NS)
14/10/2017,mjunction,
14/10/2017,Cochin,109.69(111.45)
14/10/2017,Coonoor,81.14(95.58)
14/10/2017,Coimbatore,89.01(102.40)
14/10/2017,Tea Serve,62.51(88.40)
07/10/2017,Kolkata,165.01(144.54)
07/10/2017,Guwahati,151.24(139.15)
07/10/2017,Siliguri,127.20(127.22)
07/10/2017,Jalpaiguri,NS(NS)
07/10/2017,mjunction,
07/10/2017,Cochin,106.27(110.64)
07/10/2017,Coonoor,79.82(97.46)
07/10/2017,Coimbatore,90.73(100.82)
07/10/2017,Tea Serve,61.87(88.07)
30/09/2017,Kolkata,NS(147.47)
30/09/2017,Guwahati,NS(138.78)
30/09/2017,Siliguri,NS(130.52)
30/09/2017,Jalpaiguri,NS(NS)
30/09/2017,mjunction,
30/09/2017,Cochin,106.87(111.49)
30/09/2017,Coonoor,78.85(98.24)
30/09/2017,Coimbatore,84.35(100.80)
30/09/2017,Tea Serve,60.06(88.52)
23/09/2017,Kolkata,162.78(149.87)
23/09/2017,Guwahati,153.70(139.27)
23/09/2017,Siliguri,127.38(129.71)
23/09/2017,Jalpaiguri,NS(NS)
23/09/2017,mjunction,
23/09/2017,Cochin,109.36(111.12)
23/09/2017,Coonoor,76.57(98.79)
23/09/2017,Coimbatore,82.93(100.02)
23/09/2017,Tea Serve,56.74(88.03)
16/09/2017,Kolkata,153.92(150.20)
16/09/2017,Guwahati,149.57(137.97)
16/09/2017,Siliguri,126.73(129.82)
16/09/2017,Jalpaiguri,NS(NS)
16/09/2017,mjunction,
16/09/2017,Cochin,105.59(NS)
16/09/2017,Coonoor,70.75(99.41)
16/09/2017,Coimbatore,80.81(99.91)
16/09/2017,Tea Serve,55.60(84.80)
09/09/2017,Kolkata,160.59(149.90)
09/09/2017,Guwahati,147.99(140.12)
09/09/2017,Siliguri,124.18(131.55)
09/09/2017,Jalpaiguri,NS(NS)
09/09/2017,mjunction,
09/09/2017,Cochin,NS(111.51)
09/09/2017,Coonoor,67.57(98.21)
09/09/2017,Coimbatore,78.13(99.73)
09/09/2017,Tea Serve,58.58(82.26)
02/09/2017,Kolkata,156.33(151.35)
02/09/2017,Guwahati,149.81(141.28)
02/09/2017,Siliguri,124.67(130.08)
02/09/2017,Jalpaiguri,NS(NS)
02/09/2017,mjunction,
02/09/2017,Cochin,108.03(114.62)
02/09/2017,Coonoor,64.22(95.97)
02/09/2017,Coimbatore,82.15(97.25)
02/09/2017,Tea Serve,60.51(78.87)
26/08/2017,Kolkata,163.05(150.00)
26/08/2017,Guwahati,153.43(142.04)
26/08/2017,Siliguri,124.43(127.29)
26/08/2017,Jalpaiguri,NS(NS)
26/08/2017,mjunction,
26/08/2017,Cochin,109.92(114.70)
26/08/2017,Coonoor,64.23(92.73)
26/08/2017,Coimbatore,81.25(96.43)
26/08/2017,Tea Serve,62.94(77.37)
19/08/2017,Kolkata,165.98(155.05)
19/08/2017,Guwahati,153.11(141.17)
19/08/2017,Siliguri,126.26(125.14)
19/08/2017,Jalpaiguri,NS(NS)
19/08/2017,mjunction,
19/08/2017,Cochin,107.82(111.39)
19/08/2017,Coonoor,65.60(90.82)
19/08/2017,Coimbatore,81.48(93.72)
19/08/2017,Tea Serve,58.90(78.43)
12/08/2017,Kolkata,164.03(158.31)
12/08/2017,Guwahati,156.38(143.12)
12/08/2017,Siliguri,124.33(128.79)
12/08/2017,Jalpaiguri,NS(NS)
12/08/2017,mjunction,
12/08/2017,Cochin,108.51(111.68)
12/08/2017,Coonoor,69.57(87.89)
12/08/2017,Coimbatore,84.31(91.48)
12/08/2017,Tea Serve,61.27(77.76)
05/08/2017,Kolkata,154.56(159.40)
05/08/2017,Guwahati,156.28(144.15)
05/08/2017,Siliguri,127.64(132.32)
05/08/2017,Jalpaiguri,NS(NS)
05/08/2017,mjunction,
05/08/2017,Cochin,106.82(114.47)
05/08/2017,Coonoor,73.75(85.97)
05/08/2017,Coimbatore,83.33(90.28)
05/08/2017,Tea Serve,62.51(78.33)
29/07/2017,Kolkata,162.98(159.43)
29/07/2017,Guwahati,153.23(146.07)
29/07/2017,Siliguri,126.41(135.79)
29/07/2017,Jalpaiguri,NS(NS)
29/07/2017,mjunction,
29/07/2017,Cochin,106.11(115.98)
29/07/2017,Coonoor,74.01(85.42)
29/07/2017,Coimbatore,80.45(91.17)
29/07/2017,Tea Serve,62.86(79.49)
22/07/2017,Kolkata,165.87(162.54)
22/07/2017,Guwahati,151.19(149.85)
22/07/2017,Siliguri,129.39(138.38)
22/07/2017,Jalpaiguri,NS(NS)
22/07/2017,mjunction,
22/07/2017,Cochin,104.76(114.23)
22/07/2017,Coonoor,71.86(87.62)
22/07/2017,Coimbatore,82.61(92.73)
22/07/2017,Tea Serve,62.50(81.56)
15/07/2017,Kolkata,160.57(171.50)
15/07/2017,Guwahati,151.21(154.04)
15/07/2017,Siliguri,132.76(142.89)
15/07/2017,Jalpaiguri,NS(NS)
15/07/2017,mjunction,
15/07/2017,Cochin,106.61(113.15)
15/07/2017,Coonoor,69.83(91.00)
15/07/2017,Coimbatore,86.87(94.33)
15/07/2017,Tea Serve,63.19(82.86)
08/07/2017,Kolkata,170.56(163.96)
08/07/2017,Guwahati,152.63(155.34)
08/07/2017,Siliguri,132.59(140.11)
08/07/2017,Jalpaiguri,NS(NS)
08/07/2017,mjunction,
08/07/2017,Cochin,104.92(111.72)
